#{"t_start": 1520637273.3748374, "env_id": "MountainCarContinuous-v0"}
r,l,t
-105.26645,999,1.447258
-109.638315,999,2.160837
-92.095487,999,3.521339
-94.391729,999,4.244308
-74.500829,999,5.472886
-79.064263,999,6.177405
-71.814399,999,7.399249
-69.269368,999,8.105917
-63.394226,999,9.352346
-64.822271,999,10.05692
-58.749433,999,11.283529
-55.370603,999,11.99424
-53.67124,999,13.235669
-52.418427,999,13.936098
-45.468287,999,15.170901
-45.053533,999,15.870381
-39.845796,999,17.111828
-37.141069,999,17.802365
71.343652,793,18.885651
66.358552,933,19.540252
-32.46449,999,20.830687
83.625112,490,21.18184
71.065994,910,21.809738
69.156303,899,23.003328
85.802143,414,23.293434
86.280063,471,23.618369
82.328697,514,23.976916
80.551128,594,24.934269
86.289779,441,25.278213
86.549081,402,25.557919
81.622942,627,26.001446
86.982448,411,26.848597
84.364001,520,27.227649
86.765742,378,27.491619
87.127632,399,27.771318
85.760493,465,28.112986
85.883777,435,28.981521
89.712884,313,29.205234
86.96574,428,29.53525
90.710241,308,29.762787
81.977161,529,30.150197
88.595219,320,30.939398
88.324787,331,31.174097
87.530745,334,31.41731
88.799706,333,31.658377
91.378131,265,31.845921
89.413201,271,32.052258
88.639067,336,32.816222
92.057545,248,32.992165
89.378986,424,33.276808
92.611139,236,33.439641
90.135356,262,33.623345
92.082043,275,33.833905
91.983483,287,34.051398
89.342593,363,34.814167
92.118278,223,34.975436
93.191391,187,35.102916
92.403626,260,35.293068
88.640227,331,35.536825
93.530615,158,35.671179
90.645336,313,35.91014
90.870692,313,36.159566
88.927321,370,36.961276
88.489204,376,37.27074
89.601002,355,37.532841
87.550532,402,37.838677
92.300031,269,38.04296
91.056729,246,38.239949
91.498865,300,38.947053
92.567357,249,39.131478
91.261772,267,39.33606
92.692199,233,39.515914
91.606615,270,39.708605
91.209678,316,39.934999
91.487009,283,40.140712
89.679062,375,40.94021
94.313052,196,41.078858
92.079054,223,41.24831
92.38037,267,41.446644
92.982476,240,41.618711
92.461542,226,41.77678
90.642648,289,41.986035
91.282438,270,42.191297
94.43124,205,42.346376
92.089738,225,43.031517
91.951705,254,43.223394
94.250792,241,43.392421
91.599787,272,43.587456
89.368538,359,43.839825
93.500678,233,44.006948
94.355065,160,44.125163
91.148969,274,44.319552
92.798728,189,44.963221
94.134839,198,45.108228
89.080464,300,45.321786
94.649676,160,45.434482
92.318295,269,45.625187
92.450416,292,45.837865
94.825488,199,45.979519
93.232819,191,46.133268
94.051449,205,46.278914
91.506144,267,46.995945
93.400569,189,47.142323
95.212638,164,47.259915
94.898918,202,47.404955
93.416183,185,47.537502
93.994509,158,47.652104
94.327058,163,47.767237
93.665573,152,47.87512
93.511768,186,48.010549
90.501883,235,48.185776
92.176809,225,48.343565
93.933461,159,48.992438
94.612072,157,49.106666
94.370737,118,49.193827
91.648282,252,49.370819
93.987894,186,49.502861
94.271595,152,49.612857
92.148762,190,49.745196
94.762602,150,49.851022
92.827855,223,50.016103
91.727088,198,50.16508
92.445288,162,50.283229
91.188227,228,50.959397
92.493393,168,51.081028
91.007148,200,51.221692
93.053453,182,51.36458
91.234813,196,51.514029
90.562986,242,51.688845
93.88337,157,51.799709
92.84689,146,51.910511
89.720052,206,52.073213
94.711988,141,52.178704
94.101675,149,52.28887
92.244336,169,52.407112
92.731695,151,53.045726
91.748068,145,53.151969
93.594824,118,53.23899
91.819279,152,53.347731
93.443239,153,53.455341
93.531108,150,53.56216
91.010171,170,53.683564
94.246361,158,53.796755
94.881323,130,53.889355
90.156595,196,54.036567
91.671534,179,54.168547
90.907797,150,54.274677
90.198521,151,54.383246
92.696171,146,55.02439
92.115956,151,55.150615
94.913729,124,55.245259
94.861899,119,55.327035
92.440999,151,55.431625
91.99023,145,55.533334
92.514065,146,55.63333
93.854715,122,55.716955
91.433112,177,55.838953
88.558769,218,56.000003
92.729648,151,56.115557
94.518497,132,56.214373
92.863631,147,56.320595
92.34004,147,56.426579
92.047126,142,57.08923
95.295965,89,57.156673
92.19251,153,57.270327
91.398041,166,57.398645
94.973172,84,57.465402
93.856543,110,57.55585
92.379765,166,57.681427
90.966914,149,57.787639
93.296709,153,57.896878
90.756013,164,58.014199
94.002917,114,58.097347
92.876106,146,58.20243
94.985382,86,58.264428
90.850826,196,58.400525
94.852483,88,58.463818
91.981025,144,59.083287
94.163075,81,59.141906
92.562749,111,59.228833
93.005528,116,59.308298
90.895634,151,59.412021
90.371357,148,59.514961
89.956364,150,59.619233
88.418401,163,59.731832
92.629393,118,59.830455
94.638316,78,59.884012
95.062011,86,59.950806
87.924633,163,60.092991
94.426137,120,60.180089
93.085302,122,60.26542
91.003086,143,60.367274
93.130055,118,60.451961
93.265798,119,61.074008
92.086371,145,61.178585
91.477294,152,61.291048
95.335145,91,61.354794
88.571539,168,61.476573
94.614329,85,61.536188
94.577841,120,61.619551
93.078223,132,61.720864
90.339298,147,61.837639
95.443949,85,61.905562
94.839663,82,61.967534
90.183803,150,62.080875
89.573121,147,62.188478
93.966995,88,62.249105
93.118367,109,62.326488
95.331609,87,62.388951
90.055604,145,62.492189
94.453592,82,62.549163
94.698175,154,63.192497
87.204013,164,63.321929
94.98807,80,63.385948
89.789445,155,63.49928
91.265529,116,63.582183
91.223584,146,63.690016
94.459016,81,63.747758
88.323535,151,63.851364
90.287652,143,63.95607
93.788054,83,64.014268
94.048522,83,64.076718
93.921693,80,64.132266
94.245691,95,64.205471
94.576441,80,64.261811
90.554912,153,64.367652
89.537724,155,64.477433
92.708816,118,64.557383
93.075225,119,65.17373
93.642644,79,65.230418
93.448609,79,65.290438
93.367981,82,65.345353
89.528237,151,65.454449
93.334362,118,65.537373
94.7206,81,65.593899
92.461115,123,65.680415
91.056744,119,65.763299
91.944992,125,65.848646
92.410004,119,65.932194
88.303165,154,66.041017
94.230448,84,66.100599
94.189092,78,66.154872
93.392699,79,66.20997
93.781186,77,66.26298
88.025957,147,66.36505
91.250778,109,66.44031
93.169313,78,66.49439
88.016547,182,67.148068
93.5957,87,67.209116
93.926669,80,67.272161
93.986134,79,67.326894
93.633639,89,67.388815
93.142588,82,67.445879
91.855161,126,67.534555
93.993816,80,67.590668
90.243986,112,67.668516
93.962928,93,67.731957
86.337246,179,67.855188
88.512768,148,67.96349
93.305448,79,68.01985
87.931769,158,68.137697
92.240767,115,68.218682
88.004386,172,68.337608
92.990063,122,68.421518
93.224175,82,68.479031
93.932453,79,69.040547
92.575606,77,69.098853
92.803346,79,69.155217
93.191554,77,69.2179
91.889233,76,69.271808
91.81782,119,69.357885
94.056181,78,69.412978
92.88055,78,69.466825
88.923497,165,69.580691
94.244729,80,69.636579
86.893345,155,69.742845
87.525389,162,69.862535
93.353742,76,69.919914
88.228545,148,70.027236
93.917726,81,70.088515
93.473824,127,70.179046
88.361022,150,70.285248
91.09626,113,70.364747
93.487429,77,70.417581
93.682213,77,70.474366
87.856332,164,71.104554
92.805861,80,71.165471
92.870499,79,71.226473
93.956304,78,71.281096
93.479794,77,71.334069
93.096861,77,71.387748
88.317895,161,71.498951
93.891882,91,71.563605
93.418741,80,71.619148
93.071436,79,71.674175
89.714726,111,71.751518
91.959622,130,71.845989
93.875282,89,71.91121
86.86749,161,72.02453
93.385835,77,72.082837
92.285464,125,72.169868
90.602057,116,72.250818
84.998923,177,72.395751
93.071447,79,72.451205
92.5701,79,73.00422
92.913598,79,73.060957
92.976084,77,73.117303
89.463268,121,73.212965
91.305627,108,73.293429
86.744837,162,73.407751
93.582975,92,73.475119
92.878608,79,73.530276
90.760487,104,73.606517
92.655176,78,73.661685
93.953415,81,73.719309
93.202489,88,73.78024
86.755509,157,73.889823
93.795002,77,73.949225
91.622368,79,74.006486
92.888029,76,74.061881
89.017547,139,74.164905
91.639623,116,74.24878
88.179483,135,74.343865
92.564302,83,74.404885
86.194611,153,75.035076
93.000238,77,75.094536
92.821188,80,75.158108
89.062384,148,75.273179
92.759849,82,75.335238
93.454453,80,75.394597
92.331884,79,75.458535
92.941922,79,75.518667
93.644756,79,75.579192
92.134914,78,75.637159
92.991543,81,75.699103
93.068978,85,75.761868
87.285518,156,75.880171
91.702547,107,75.966119
92.042982,79,76.025549
92.772801,77,76.083132
93.527712,104,76.159205
93.610694,77,76.220051
93.343892,78,76.277741
93.380967,81,76.337665
90.939624,78,76.392376
93.149084,78,76.44917
93.280225,78,76.505493
92.415592,79,77.098423
87.510085,158,77.220246
92.280878,77,77.287694
92.124316,79,77.344815
92.54868,78,77.398736
86.718713,165,77.515732
92.929333,81,77.582914
93.292961,87,77.653525
92.830675,76,77.708087
92.198274,82,77.765391
92.860171,79,77.823193
92.798906,78,77.87822
88.374601,151,77.988067
92.269345,108,78.067182
92.355375,77,78.121112
93.330426,84,78.180371
92.238707,89,78.247794
93.556526,86,78.307481
89.428552,152,78.415685
93.153281,76,78.470574
92.409533,79,78.52622
92.212924,79,79.087559
91.53489,81,79.152719
93.207435,88,79.215509
90.916552,76,79.276087
92.953394,76,79.331985
92.662005,83,79.390572
92.173153,77,79.443653
90.658245,128,79.533352
92.821332,77,79.586338
92.52206,88,79.646543
91.800734,81,79.702786
91.709599,77,79.756044
88.037127,150,79.864681
92.74214,80,79.926614
92.477007,80,79.985742
91.584611,80,80.044397
93.22419,88,80.112141
91.975495,78,80.168121
91.944561,79,80.224407
92.972994,79,80.281534
91.964723,80,80.338682
86.80549,155,80.448663
92.761759,77,80.506618
92.589531,79,80.561711
89.620299,149,81.211312
92.141972,85,81.273914
88.763807,160,81.394429
90.982376,79,81.449374
92.226096,79,81.504916
91.646432,76,81.558138
87.366698,156,81.66667
92.315845,83,81.724571
92.628293,79,81.779626
93.275875,80,81.834424
91.514314,92,81.903191
92.874666,78,81.960609
91.629931,78,82.016857
92.18743,81,82.075502
92.473658,79,82.131012
92.323745,78,82.184029
91.147462,114,82.263649
92.633711,78,82.317921
91.793762,78,82.37164
91.923146,83,82.428942
91.816699,79,82.490631
92.67924,77,82.54289
91.30314,86,83.138296
92.201923,82,83.199565
91.866767,77,83.261857
91.61726,78,83.320476
90.623662,77,83.373543
91.742795,76,83.427036
92.597787,78,83.482779
91.91085,78,83.536015
91.60416,78,83.589858
92.370509,80,83.646585
86.66485,160,83.75935
92.134363,78,83.814902
91.837641,77,83.871047
92.839406,78,83.929367
91.621691,81,83.986598
91.760439,83,84.045406
91.52292,81,84.105724
92.100043,77,84.159911
92.012504,77,84.213616
90.345015,76,84.267215
91.860808,84,84.325332
93.108426,80,84.380595
92.118488,78,84.436461
91.722976,76,84.49132
92.664251,78,84.546427
90.589447,83,85.14032
91.939169,81,85.208539
91.498205,80,85.265739
91.236616,77,85.330093
91.420918,79,85.384676
91.754871,77,85.436709
91.78549,78,85.492025
91.552534,78,85.547006
91.80874,80,85.604334
91.479194,95,85.670359
92.025809,75,85.722698
91.158458,77,85.792859
89.809837,78,85.856149
91.625231,86,85.92945
90.879991,80,85.990428
91.6532,80,86.047775
92.133997,87,86.113316
92.095548,83,86.172521
91.715233,77,86.226959
91.325522,78,86.28247
91.287078,77,86.336971
91.830144,76,86.389305
90.451285,81,86.445482
92.442853,85,86.505259
91.528894,78,86.560087
91.96868,77,87.098135
91.7782,77,87.157064
90.791854,77,87.20992
91.637642,80,87.266637
91.020036,75,87.31984
91.435257,78,87.373952
91.998768,85,87.43223
91.292456,82,87.488851
91.671299,77,87.541257
90.763639,78,87.595314
91.406893,80,87.650935
91.134083,78,87.704544
92.067401,77,87.758315
91.292766,80,87.813286
90.891844,86,87.871982
91.863834,77,87.93142
90.119583,82,87.98767
91.506933,84,88.045778
91.654302,92,88.133668
91.718975,83,88.194564
90.995559,80,88.254233
90.842737,77,88.311713
91.081247,80,88.372259
92.069936,77,88.43096
91.535638,78,88.490112
90.594106,80,88.545579
91.612255,79,89.108629
90.118682,78,89.165201
91.652993,79,89.219989
90.87361,78,89.279401
91.11997,79,89.334121
91.098723,77,89.387124
91.641323,79,89.442107
90.827223,79,89.497215
90.586628,77,89.550829
91.00662,78,89.605336
91.394803,79,89.660827
91.432277,81,89.716709
90.482558,82,89.772135
91.33626,78,89.8269
91.449022,78,89.879585
91.943571,77,89.936555
91.343291,77,89.990502
91.925056,75,90.042159
91.057065,78,90.099648
91.652128,79,90.157928
91.237741,78,90.213788
91.432536,77,90.267641
91.924532,77,90.321561
90.824898,78,90.378216
91.324326,76,90.430882
91.158557,77,90.486876
90.639859,80,91.070961
90.930299,77,91.12578
90.040515,78,91.180834
91.317999,78,91.238048
91.240299,75,91.290222
90.609839,77,91.343296
91.865217,78,91.396019
91.257957,77,91.449414
90.384777,78,91.503391
90.993323,78,91.557164
91.682898,80,91.617281
91.847967,76,91.671459
91.645779,81,91.729686
90.026296,77,91.783179
89.661118,77,91.836697
91.593885,76,91.890676
91.199958,83,91.953537
91.467268,77,92.006634
91.51904,80,92.062151
90.855129,79,92.118884
90.800908,78,92.17278
91.64935,76,92.226156
91.944529,77,92.277835
90.571362,83,92.334744
91.407771,76,92.38884
91.217464,77,92.442147
90.209093,77,92.49639
90.796313,77,93.04329
91.098208,77,93.09679
91.314247,79,93.1541
91.408642,79,93.210932
90.604,80,93.265891
90.989005,77,93.318423
91.174767,77,93.377959
91.218898,76,93.431525
92.161054,79,93.486933
90.710769,76,93.539605
90.712699,76,93.591311
91.789455,77,93.643245
91.236459,78,93.696989
91.774465,79,93.75234
90.670656,76,93.805072
91.171722,77,93.85708
91.205236,78,93.913668
91.383961,75,93.9658
90.905408,77,94.020647
90.638882,78,94.079402
90.761662,79,94.136023
91.771771,81,94.193441
90.385857,81,94.251016
92.145005,76,94.302451
91.532206,77,94.355846
92.280578,78,94.408977
91.408422,77,94.94719
91.699185,78,95.001557
92.352967,80,95.057382
92.051117,76,95.112211
91.692514,80,95.168092
92.062874,76,95.222547
91.362074,75,95.274872
92.681559,77,95.32952
91.360151,78,95.382306
91.8475,77,95.434455
91.185909,83,95.491826
91.474692,76,95.544139
91.488518,79,95.597804
91.419231,81,95.653214
91.438863,79,95.706364
91.924167,76,95.758842
91.84673,77,95.812184
91.20139,77,95.864464
91.58113,76,95.924172
91.956802,79,95.978705
91.474066,75,96.031199
91.436221,76,96.089041
90.935104,79,96.143712
90.943418,78,96.199913
91.006474,84,96.258447
91.901486,77,96.311556
91.872119,76,96.850682
92.48934,76,96.906343
90.845538,76,96.962499
92.281548,77,97.017405
92.154814,76,97.078254
91.845862,79,97.133335
92.059973,76,97.189003
91.195376,75,97.241012
92.405921,76,97.293048
92.84525,78,97.346028
92.059226,76,97.399685
91.26148,76,97.452544
91.666512,76,97.505029
91.607079,78,97.558146
92.354871,76,97.612091
90.868334,78,97.665868
92.192248,77,97.718306
92.573118,75,97.769421
92.112826,76,97.822796
92.392667,78,97.880897
90.549588,77,97.940183
91.570755,77,97.996444
92.864717,76,98.050713
92.146887,77,98.107164
90.889953,77,98.160824
91.197906,76,98.212834
91.672104,75,98.264185
92.641682,78,98.822985
92.408852,77,98.877137
92.14696,75,98.93146
91.986636,76,98.984593
91.559432,77,99.038652
91.854493,76,99.092529
91.33066,77,99.145059
91.559879,77,99.198005
92.485089,77,99.250587
91.085665,77,99.303604
93.034348,76,99.357213
92.118889,77,99.41025
91.702049,77,99.46418
92.309188,75,99.515576
91.864856,82,99.571415
91.559294,78,99.626234
91.840156,76,99.678618
91.819642,75,99.730529
92.309684,78,99.784383
91.919456,76,99.83639
91.846309,76,99.888495
91.884742,76,99.949715
92.317651,75,100.002434
92.371143,78,100.059733
91.707571,79,100.114355
92.293508,75,100.165373
92.28587,76,100.21868
92.386023,75,100.75315
91.68005,75,100.804505
92.04148,74,100.859976
91.900128,74,100.912787
92.321844,75,100.964586
92.6626,75,101.017585
91.638468,75,101.071862
91.618417,77,101.126543
92.037205,76,101.178531
92.161739,78,101.233124
91.305774,76,101.286271
91.48662,78,101.339827
92.219525,75,101.391278
92.023949,75,101.442866
92.661181,75,101.495546
92.110636,74,101.548529
92.40558,77,101.601637
91.993936,76,101.65448
91.991417,76,101.706319
92.20783,77,101.759919
91.170122,76,101.811643
91.684178,78,101.864549
91.863342,79,101.924291
92.973255,76,101.979406
91.394321,75,102.031606
91.982002,77,102.088611
91.994764,76,102.141628
92.460144,74,102.697916
92.739318,77,102.751378
91.368684,76,102.808428
92.067244,76,102.861131
91.989427,74,102.912623
91.257156,75,102.963459
92.623178,75,103.015105
92.944107,80,103.070541
91.773715,75,103.122815
91.133275,75,103.174404
92.527022,75,103.226342
92.13067,74,103.276547
92.0861,76,103.329298
92.00222,76,103.381178
91.742639,75,103.432441
92.203732,77,103.486889
91.014659,76,103.538501
91.729447,75,103.589825
93.338202,83,103.647743
92.177723,75,103.698492
91.9422,75,103.749506
91.41637,74,103.800478
91.920507,78,103.865846
91.862045,75,103.92153
92.353139,80,103.977539
91.9543,76,104.031263
91.827826,75,104.082804
92.316593,77,104.616915
92.565746,74,104.667543
86.842018,153,104.773687
92.263154,73,104.825384
92.487404,75,104.877562
92.847263,74,104.928937
91.803342,77,104.981383
92.980656,79,105.035837
91.912,73,105.087688
91.978833,75,105.1401
92.409108,79,105.195038
92.412753,76,105.246932
91.808081,75,105.299883
91.76114,73,105.350579
92.691208,75,105.402621
92.023625,75,105.454239
92.817821,74,105.505034
93.196665,74,105.555659
92.962055,74,105.60602
92.339744,76,105.658355
91.943606,76,105.710977
92.654118,75,105.762428
92.705771,75,105.813775
91.919944,76,105.865978
92.817114,75,105.921484
93.252335,78,105.974378
91.628724,75,106.526457
91.986847,74,106.577124
92.407782,74,106.626842
91.708099,74,106.683398
92.845957,76,106.739017
92.76205,74,106.78911
92.828817,75,106.84239
91.903654,77,106.894714
92.10873,75,106.946204
91.613033,78,106.999175
92.332499,74,107.04975
92.873584,73,107.100955
91.773433,75,107.152745
92.147822,77,107.205544
91.76729,73,107.25602
92.937053,76,107.308181
93.01087,81,107.363961
91.409954,74,107.415685
92.181724,74,107.466162
92.119498,76,107.517646
91.839846,75,107.568666
91.762855,75,107.621793
92.323375,74,107.674321
93.250289,83,107.731556
91.974905,75,107.782371
92.438929,75,107.833717
91.950286,75,107.885947
92.351123,74,108.461807
92.593778,77,108.514145
92.967749,76,108.566003
92.130841,76,108.623601
91.770986,74,108.675707
92.664077,74,108.727413
91.998774,75,108.779026
92.061452,76,108.831852
91.619889,74,108.884952
92.028678,74,108.937264
92.236026,76,108.99183
91.488838,75,109.044849
92.691873,74,109.11467
91.84019,74,109.18639
92.555794,75,109.238803
91.927869,76,109.291033
92.316492,75,109.344028
92.100314,76,109.39784
92.353035,74,109.449219
92.685098,75,109.501828
91.15564,76,109.553863
91.469053,74,109.604165
91.632102,75,109.655822
91.964903,76,109.707786
92.570018,73,109.757139
92.77036,74,109.808579
92.499463,76,109.861705
91.854977,75,110.447001
92.590087,74,110.51021
92.667255,77,110.577919
92.349588,74,110.632328
92.207974,74,110.684056
93.145141,75,110.73694
92.959864,78,110.79241
92.22162,75,110.844086
92.326432,76,110.897045
92.26106,73,110.947634
92.59576,77,111.001714
92.641418,73,111.053703
92.95815,75,111.10744
92.647745,75,111.159534
92.708847,76,111.216021
92.176122,76,111.271126
91.758866,78,111.325884
92.383109,74,111.377413
91.759755,76,111.429709
91.987122,76,111.48422
92.854114,72,111.534786
92.405118,76,111.59003
92.411382,74,111.641383
92.993399,75,111.692828
91.99352,76,111.745147
92.279212,74,111.798207
92.769643,75,111.849987
91.905477,74,112.419596
92.943981,75,112.47748
92.543475,73,112.528829
92.138507,74,112.586534
92.272233,78,112.648074
93.255853,75,112.701342
92.835061,74,112.752138
91.925669,75,112.812823
92.490135,77,112.867271
92.749298,74,112.920866
92.361648,75,112.973472
92.800254,73,113.029435
92.444172,77,113.084461
92.418039,74,113.135537
92.533464,75,113.187214
92.778062,77,113.243045
93.457066,74,113.295505
92.575281,73,113.346215
92.618343,75,113.398243
93.295522,74,113.450865
92.562132,75,113.503896
92.287538,77,113.560337
92.93161,74,113.614029
92.854015,74,113.665286
93.037015,75,113.716686
92.751193,74,113.767661
92.31006,76,113.820387
92.14405,73,113.870921
92.692891,74,114.457365
92.946407,73,114.507925
93.128332,73,114.563319
92.767177,74,114.61738
92.772306,74,114.66951
93.087803,74,114.720184
92.929756,73,114.770284
93.09174,74,114.822187
92.921142,74,114.872661
92.770308,74,114.924315
92.943612,76,114.977818
92.597316,77,115.034414
92.886475,77,115.090691
92.015684,74,115.145493
